epoch,loss,lr
0,0.81849945724,0.0001
1,0.149477099106,0.0001
2,0.125091073625,0.0001
3,0.122484030575,0.0001
4,0.126069391817,0.0001
5,0.120999823064,0.0001
6,0.123300949261,0.0001
7,0.121945585683,0.0001
8,0.123649540469,0.0001
9,0.123344397917,0.0001
10,0.122219003886,0.0001
